num_solar_panels,num_wind_turbines,battery_kwh,scenario_name,annual_demand_kwh,total_cost,annual_kwh_generated,self_sufficiency_pct,annual_savings_eur,payback_period_years,annual_kwh_exported,annual_kwh_curtailed,wind_generation_kwh,solar_generation_kwh,annual_maintenance_cost_eur,annual_amortized_battery_replacement_cost_eur,annual_financing_cost_eur,env_co2_reduction_tons_yr,env_land_use_sqm,env_water_savings_m3_yr,env_waste_factor_pct,env_degradation_rate,soc_local_jobs_fte,soc_energy_resilience_hrs,soc_grid_strain_reduction_pct,soc_community_investment_eur,soc_noise_level_impact_score,gov_payback_plausibility_score,gov_supply_chain_transparency_score,gov_regulatory_compliance_score,gov_stakeholder_reporting_score,gov_operational_risk_score
977,200,1333,Hospital,1500000,768170.0,1880471,95.5,145108,5.3,378944,52457,708972,1171499,15363,21328,53772,374,2661,3761,2.8,0.005,0.92,6.2,20.2,768,4.0,4.7,5.8,10,8,5.2
977,200,2416,Hospital,1500000,1179710.0,1886095,96.5,92403,12.8,366203,54949,718419,1167677,23594,38656,82580,375,2661,3772,2.9,0.005,1.42,11.3,19.4,1180,4.0,2.0,5.6,10,8,5.0
977,200,3500,Hospital,1500000,1591630.0,1877723,96.6,37887,42.0,358725,52726,708036,1169688,31833,56000,111414,374,2661,3755,2.8,0.005,1.91,16.4,19.1,1592,4.0,1.0,5.4,10,8,4.8
977,200,4583,Hospital,1500000,2003170.0,1883229,96.8,-16174,50.0,359212,54775,714258,1168971,40063,73328,140222,375,2661,3766,2.9,0.005,2.4,21.4,19.1,2003,4.0,1.0,5.4,10,8,4.6
977,200,5666,Hospital,1500000,2414710.0,1868753,96.7,-71163,50.0,349923,51328,700016,1168737,48294,90656,169030,372,2661,3738,2.7,0.005,2.9,26.5,18.7,2415,4.0,1.0,5.3,10,8,4.4
977,200,6750,Hospital,1500000,2826630.0,1884858,97.1,-124393,50.0,358493,54250,709221,1175637,56533,108000,197864,375,2661,3770,2.9,0.005,3.39,31.5,19.0,2827,4.0,1.0,5.3,10,8,4.2
977,200,7833,Hospital,1500000,3238170.0,1875034,96.8,-179303,50.0,353833,52741,708611,1166424,64763,125328,226672,373,2661,3750,2.8,0.005,3.89,36.6,18.9,3238,4.0,1.0,5.2,10,8,3.9
977,200,8916,Hospital,1500000,3649710.0,1880434,97.1,-233307,50.0,355505,53440,709743,1170691,72994,142656,255480,374,2661,3761,2.8,0.005,4.38,41.7,18.9,3650,4.0,1.0,5.2,10,8,3.7
977,200,10000,Hospital,1500000,4061630.0,1881729,97.0,-287812,50.0,356391,56019,715675,1166054,81233,160000,284314,374,2661,3763,3.0,0.005,4.87,46.7,18.9,4062,4.0,1.0,5.2,10,8,3.5
1855,5,250,Hospital,1500000,449350.0,2231878,53.9,146002,3.1,1122323,298546,17560,2214319,8987,4000,31455,444,3178,4464,13.4,0.005,0.54,1.2,50.3,449,7.6,8.1,7.6,10,8,8.9
1855,5,1333,Hospital,1500000,860890.0,2232796,75.0,122413,7.0,840062,248407,17823,2214973,17218,21328,60262,444,3178,4466,11.1,0.005,1.03,6.2,37.6,861,7.6,3.6,6.7,10,8,8.7
1855,5,2416,Hospital,1500000,1272430.0,2247002,96.1,93396,13.6,596501,172129,17834,2229169,25449,38656,89070,447,3178,4494,7.7,0.005,1.53,11.3,26.5,1272,7.6,1.8,6.3,10,8,8.5
1855,5,3500,Hospital,1500000,1684350.0,2236838,100.0,45274,37.2,536474,158114,17918,2218919,33687,56000,117905,445,3178,4474,7.1,0.005,2.02,16.4,24.0,1684,7.6,1.0,6.0,10,8,8.3
1855,5,4583,Hospital,1500000,2095890.0,2235245,100.0,-9151,50.0,536165,156684,17824,2217420,41918,73328,146712,445,3178,4470,7.0,0.005,2.52,21.4,24.0,2096,7.6,1.0,5.9,10,8,8.1
1855,5,5666,Hospital,1500000,2507430.0,2243116,100.0,-63206,50.0,540546,159143,17685,2225431,50149,90656,175520,446,3178,4486,7.1,0.005,3.01,26.5,24.1,2507,7.6,1.0,5.7,10,8,7.8
1855,5,6750,Hospital,1500000,2919350.0,2226164,100.0,-118230,50.0,528478,154617,17750,2208413,58387,108000,204355,443,3178,4452,6.9,0.005,3.5,31.5,23.7,2919,7.6,1.0,5.6,10,8,7.6
1855,5,7833,Hospital,1500000,3330890.0,2226762,100.0,-172797,50.0,524407,157520,17858,2208904,66618,125328,233162,443,3178,4454,7.1,0.005,4.0,36.6,23.6,3331,7.6,1.0,5.6,10,8,7.4
1855,5,8916,Hospital,1500000,3742430.0,2248967,100.0,-226475,50.0,538173,166128,17747,2231220,74849,142656,261970,448,3178,4498,7.4,0.005,4.49,41.7,23.9,3742,7.6,1.0,5.5,10,8,7.2
1855,5,10000,Hospital,1500000,4154350.0,2242812,100.0,-281029,50.0,535440,161932,17877,2224934,83087,160000,290804,446,3178,4486,7.2,0.005,4.99,46.7,23.9,4154,7.6,1.0,5.5,10,8,7.0
1855,26,250,Hospital,1500000,457330.0,2321565,56.9,153895,3.0,1165099,300450,93117,2228449,9147,4000,32013,462,3284,4643,12.9,0.005,0.55,1.2,50.2,457,6.0,8.3,7.5,10,8,8.5
1855,26,1333,Hospital,1500000,868870.0,2316792,77.9,128422,6.8,868803,259157,92068,2224724,17377,21328,60821,461,3284,4634,11.2,0.005,1.04,6.2,37.5,869,6.0,3.7,6.7,10,8,8.3
1855,26,2416,Hospital,1500000,1280410.0,2306027,98.6,99640,12.9,617091,172000,91841,2214187,25608,38656,89629,459,3284,4612,7.5,0.005,1.54,11.3,26.8,1280,6.0,1.9,6.3,10,8,8.1
1855,26,3500,Hospital,1500000,1692330.0,2310127,100.0,47278,35.8,590993,179298,92082,2218045,33847,56000,118463,460,3284,4620,7.8,0.005,2.03,16.4,25.6,1692,6.0,1.0,6.0,10,8,7.9
1855,26,4583,Hospital,1500000,2103870.0,2316956,100.0,-6607,50.0,599557,176737,91811,2225145,42077,73328,147271,461,3284,4634,7.6,0.005,2.52,21.4,25.9,2104,6.0,1.0,5.8,10,8,7.6
1855,26,5666,Hospital,1500000,2515410.0,2319029,100.0,-61019,50.0,598657,179042,92159,2226870,50308,90656,176079,461,3284,4638,7.7,0.005,3.02,26.5,25.8,2515,6.0,1.0,5.7,10,8,7.4
1855,26,6750,Hospital,1500000,2927330.0,2312929,100.0,-115730,50.0,592780,178408,94147,2218782,58547,108000,204913,460,3284,4626,7.7,0.005,3.51,31.5,25.6,2927,6.0,1.0,5.6,10,8,7.2
1855,26,7833,Hospital,1500000,3338870.0,2306907,100.0,-170154,50.0,591627,172833,91907,2215000,66777,125328,233721,459,3284,4614,7.5,0.005,4.01,36.6,25.6,3339,6.0,1.0,5.6,10,8,7.0
1855,26,8916,Hospital,1500000,3750410.0,2311450,100.0,-224553,50.0,590982,177487,92025,2219425,75008,142656,262529,460,3284,4623,7.7,0.005,4.5,41.7,25.6,3750,6.0,1.0,5.5,10,8,6.8
1855,26,10000,Hospital,1500000,4162330.0,2312805,100.0,-278804,50.0,594299,175072,93004,2219801,83247,160000,291363,460,3284,4626,7.6,0.005,4.99,46.7,25.7,4162,6.0,1.0,5.5,10,8,6.6
1855,48,250,Hospital,1500000,465690.0,2386299,59.9,160583,2.9,1188007,297324,171352,2214946,9314,4000,32598,475,3394,4773,12.5,0.005,0.56,1.2,49.8,466,5.4,8.6,7.4,10,8,8.1
1855,48,1333,Hospital,1500000,877230.0,2380117,81.0,134509,6.5,898218,246947,171223,2208894,17545,21328,61406,474,3394,4760,10.4,0.005,1.05,6.2,37.7,877,5.4,3.8,6.6,10,8,7.8
1855,48,2416,Hospital,1500000,1288770.0,2398701,99.6,104134,12.4,672913,195206,170064,2228637,25775,38656,90214,477,3394,4797,8.1,0.005,1.55,11.3,28.1,1289,5.4,2.0,6.2,10,8,7.6
1855,48,3500,Hospital,1500000,1700690.0,2387733,100.0,50114,33.9,662358,187892,169753,2217980,34014,56000,119048,475,3394,4775,7.9,0.005,2.04,16.4,27.7,1701,5.4,1.0,6.0,10,8,7.4
1855,48,4583,Hospital,1500000,2112230.0,2390799,100.0,-4337,50.0,660019,192598,174408,2216391,42245,73328,147856,476,3394,4782,8.1,0.005,2.53,21.4,27.6,2112,5.4,1.0,5.8,10,8,7.2
1855,48,5666,Hospital,1500000,2523770.0,2397454,100.0,-58450,50.0,665090,193653,171360,2226094,50475,90656,176664,477,3394,4795,8.1,0.005,3.03,26.5,27.7,2524,5.4,1.0,5.7,10,8,7.0
1855,48,6750,Hospital,1500000,2935690.0,2391711,100.0,-112976,50.0,662894,189464,170462,2221249,58714,108000,205498,476,3394,4783,7.9,0.005,3.52,31.5,27.7,2936,5.4,1.0,5.6,10,8,6.8
1855,48,7833,Hospital,1500000,3347230.0,2393860,100.0,-167227,50.0,665224,188633,169656,2224203,66945,125328,234306,476,3394,4788,7.9,0.005,4.02,36.6,27.8,3347,5.4,1.0,5.5,10,8,6.5
1855,48,8916,Hospital,1500000,3758770.0,2387595,100.0,-221927,50.0,658541,188632,169135,2218461,75175,142656,263114,475,3394,4775,7.9,0.005,4.51,41.7,27.6,3759,5.4,1.0,5.5,10,8,6.3
1855,48,10000,Hospital,1500000,4170690.0,2385484,100.0,-276376,50.0,657905,186417,170772,2214713,83414,160000,291948,475,3394,4771,7.8,0.005,5.0,46.7,27.6,4171,5.4,1.0,5.4,10,8,6.1
1855,70,250,Hospital,1500000,474050.0,2468319,63.1,168553,2.8,1223966,295884,251131,2217188,9481,4000,33184,491,3504,4937,12.0,0.005,0.57,1.2,49.6,474,5.1,8.9,7.4,10,8,7.6
1855,70,1333,Hospital,1500000,885590.0,2470096,84.0,140868,6.3,934415,255750,247542,2222554,17712,21328,61991,492,3504,4940,10.4,0.005,1.06,6.2,37.8,886,5.1,4.0,6.6,10,8,7.4
1855,70,2416,Hospital,1500000,1297130.0,2466041,99.9,106845,12.1,726123,206303,247537,2218503,25943,38656,90799,491,3504,4932,8.4,0.005,1.56,11.3,29.4,1297,5.1,2.1,6.2,10,8,7.2
1855,70,3500,Hospital,1500000,1709050.0,2476313,100.0,52891,32.3,732697,208630,250631,2225681,34181,56000,119634,493,3504,4953,8.4,0.005,2.05,16.4,29.6,1709,5.1,1.0,6.0,10,8,7.0
1855,70,4583,Hospital,1500000,2120590.0,2464435,100.0,-1953,50.0,722748,205993,247739,2216696,42412,73328,148441,490,3504,4929,8.4,0.005,2.54,21.4,29.3,2121,5.1,1.0,5.8,10,8,6.8
1855,70,5666,Hospital,1500000,2532130.0,2465119,100.0,-56380,50.0,721542,207214,248719,2216401,50643,90656,177249,491,3504,4930,8.4,0.005,3.04,26.5,29.3,2532,5.1,1.0,5.7,10,8,6.5
1855,70,6750,Hospital,1500000,2944050.0,2475816,100.0,-110449,50.0,728488,210532,252042,2223774,58881,108000,206084,493,3504,4952,8.5,0.005,3.53,31.5,29.4,2944,5.1,1.0,5.6,10,8,6.3
1855,70,7833,Hospital,1500000,3355590.0,2467382,100.0,-165052,50.0,723762,206286,249568,2217814,67112,125328,234891,491,3504,4935,8.4,0.005,4.03,36.6,29.3,3356,5.1,1.0,5.5,10,8,6.1
1855,70,8916,Hospital,1500000,3767130.0,2466045,100.0,-219556,50.0,721014,206893,247010,2219035,75343,142656,263699,491,3504,4932,8.4,0.005,4.52,41.7,29.2,3767,5.1,1.0,5.5,10,8,5.9
